bin name	MAG	prodigal_count	mag	domain	completion	redundancy	total_length	domain	phylum	class	order	family	genus	depth!d10	depth!d20	depth!d30	depth!d40	depth!d70	depth!d90	depth!d110	depth!d130	depth!d150	depth!d170	depth!d190	depth!d200	depth!d210	depth!d220	depth!d230	depth!d240	cluster_members	closest_cluster_member	furthest_cluster_member
s_SalMarSW160110MG_4_8867924_Bin_24_2_contigs	s_SalMarSW160110MG_4_8867924_Bin_24_2	1359	s_SalMarSW160110MG_4_8867924_Bin_24_2	BACTERIA	85.92	1.41	1348527	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	RBG-13-51-36	2.088831919	0.002614558	0.180908799	0.654062101	5.452401716	4.356518977	2.032943426	1.26282487	1.231921364	0.576800509	0.362889284	1.036975583	0.227198997	0.615735192	0.037301292	0.162155915	17	99.92	99.22
s_SalMarSW160110MG_4_8867924_Bin_25_2_contigs	s_SalMarSW160110MG_4_8867924_Bin_25_2	539	s_SalMarSW160110MG_4_8867924_Bin_25_2	BACTERIA	71.83	2.82	461318	Bacteria	Patescibacteria	Paceibacteria	Paceibacterales	unknown	unknown	0.020893023	2.99038E-05	0.001481448	0.003168181	0.026694351	0.033525337	0.02900098	0.011890378	0.014772453	0.002741447	0.001588132	0.006690358	0.000322476	0.007460582	5.0109E-05	0.000829223	1	0	0
s_SalMarSW160110MG_4_8867924_Bin_43_contigs	s_SalMarSW160110MG_4_8867924_Bin_43	567	s_SalMarSW160110MG_4_8867924_Bin_43	BACTERIA	71.83	1.41	509191	Bacteria	Patescibacteria	Paceibacteria	Paceibacterales	DG-74-3	unknown	0.034727953	4.68761E-05	0.14700522	0.007694962	0.159800793	0.150026307	0.116097674	0.029123828	0.042990278	0.02203179	0.00697404	0.018798144	0.011584066	0.025907155	0.010790405	0.032821387	6	99	98.49
s_SalMarSW160110MG_4_8867924_Bin_46_contigs	s_SalMarSW160110MG_4_8867924_Bin_46	2237	s_SalMarSW160110MG_4_8867924_Bin_46	BACTERIA	92.96	1.41	2305896	Bacteria	WOR-3_B	UBA3072	UBA3072	UBA3072	unknown	0.011466068	0.0004332	0.002530504	0.004330386	0.066435627	0.281270635	0.221432422	0.011571943	0.004841983	0.005052117	0.003965076	0.006665303	0.005436825	0.056889864	0.000493816	0.002895006	1	0	0
s_SalMarSW160110MG_4_8867924_Bin_57_1_contigs	s_SalMarSW160110MG_4_8867924_Bin_57_1	2448	s_SalMarSW160110MG_4_8867924_Bin_57_1	ARCHAEA	81.58	3.95	2398348	Archaea	Crenarchaeota	Bathyarchaeia	B26-1	BA1	unknown	0.403048404	0.053771792	0.429644153	0.379878655	0.949121598	1.023916535	0.548262633	0.388641262	0.435083403	0.373329734	0.376237672	0.474843268	0.591222199	0.443601123	0.140280917	0.573224182	1	0	0
s_SalMarSW160110MG_4_8867924_Bin_58_1_contigs	s_SalMarSW160110MG_4_8867924_Bin_58_1	1720	s_SalMarSW160110MG_4_8867924_Bin_58_1	BACTERIA	97.18	0	1693588	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	UBA5760	unknown	0.310175438	0.035006785	0.160333403	0.178796948	0.422347638	0.503370638	0.373300639	0.20656945	0.155969071	0.069473686	0.048104628	0.108786611	0.050088782	0.123124247	0.004462124	0.033771841	4	99.31	98.75
s_SalMarSW160110MG_4_8867924_Bin_78_1_contigs	s_SalMarSW160110MG_4_8867924_Bin_78_1	2832	s_SalMarSW160110MG_4_8867924_Bin_78_1	BACTERIA	94.37	5.63	3207211	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA5072	unknown	0.062480249	0.000252161	0.000852661	0.060260906	0.180962949	0.135713726	0.232897681	0.028898338	0.003242536	0.004417673	0.0016342	0.027216454	0.002116701	0.060019252	0.000193162	0.001787759	1	0	0
s_SalMarSW160110MG_4_8867924_Bin_94_1_contigs	s_SalMarSW160110MG_4_8867924_Bin_94_1	1046	s_SalMarSW160110MG_4_8867924_Bin_94_1	BACTERIA	90.14	2.82	939794	Bacteria	Omnitrophota	koll11	UBA10183	unknown	unknown	0.039137544	4.36433E-05	0.016937646	0.007845289	0.061644561	0.052203866	0.064564622	0.036148785	0.037244717	0.012136073	0.016691142	0.022056036	0.007396733	0.021246211	0.000104259	0.023710441	1	0	0
s_SalMarSW160110MG_4_8867924_Bin_95_contigs	s_SalMarSW160110MG_4_8867924_Bin_95	2084	s_SalMarSW160110MG_4_8867924_Bin_95	BACTERIA	76.06	1.41	2238144	Bacteria	Planctomycetota	Phycisphaerae	SG8-4	SG8-4	Fen-1359	0.167503029	0.002952389	0.216971914	0.225308595	0.683094602	0.341567102	0.157336562	0.109902748	0.041103917	0.010764542	0.018171782	0.045504618	0.005524112	0.042499695	0.001409517	0.013589234	1	0	0
s_SalMarSW160110MG_4_8867924_Bin_99_2_contigs	s_SalMarSW160110MG_4_8867924_Bin_99_2	2006	s_SalMarSW160110MG_4_8867924_Bin_99_2	BACTERIA	84.51	2.82	1929101	Bacteria	Bipolaricaulota	Bipolaricaulia	UBA7950	UBA7950	UBA9294	0.186570307	0.000500282	0.145725825	0.009094781	0.332168434	0.364305267	0.197481134	0.191929544	0.243164366	0.180924155	0.305664013	0.229486229	0.379072871	0.179094369	0.045656561	0.266881273	4	98.89	97.14
s_SalMarSW160120MG_2_8867925_Bin_11_1_contigs	s_SalMarSW160120MG_2_8867925_Bin_11_1	4259	s_SalMarSW160120MG_2_8867925_Bin_11_1	BACTERIA	88.73	1.41	4422261	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	unknown	unknown	0.312375384	1.144523209	0.290895601	0.136745809	0.105784921	0.106713554	0.003126962	0.003021895	0.003969925	0.003173839	0.017227793	0.015588744	0.001785335	0.001183219	0.000525336	0.014356225	2	99.63	99.63
s_SalMarSW160120MG_2_8867925_Bin_23_contigs	s_SalMarSW160120MG_2_8867925_Bin_23	2587	s_SalMarSW160120MG_2_8867925_Bin_23	BACTERIA	83.1	2.82	2758392	Bacteria	KSB1	UBA2214	unknown	unknown	unknown	0.010875267	0.635096658	0.329359906	0.055662194	0.042426956	0.046566605	0.00662166	0.00330396	0.00450011	0.000719306	0.0006005	0.002967745	0.000358037	0.001455585	3.71776E-05	0.003566628	3	98.98	98.38
s_SalMarSW160120MG_2_8867925_Bin_3_1_contigs	s_SalMarSW160120MG_2_8867925_Bin_3_1	3353	s_SalMarSW160120MG_2_8867925_Bin_3_1	BACTERIA	76.06	0	4042555	Bacteria	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	unknown	0.006181994	0.588692503	0.20088208	0.06523786	0.016496363	0.024189709	0.000345105	0.000827606	0.000137396	0.000484926	0.001438613	0.001618035	0.000186696	0.000113958	4.68761E-05	0.002208028	1	0	0
s_SalMarSW160120MG_2_8867925_Bin_3_2_contigs	s_SalMarSW160120MG_2_8867925_Bin_3_2	3359	s_SalMarSW160120MG_2_8867925_Bin_3_2	BACTERIA	85.92	4.23	3674369	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	10-Feb	10-Feb	0.049776005	0.543941945	0.10731082	0.013435674	0.011269673	0.014668194	0.000411379	0.00107896	0.000180231	0.001051481	0.004532439	0.000703142	0.00028449	0.000238422	7.92045E-05	0.004677108	1	0	0
s_SalMarSW160120MG_2_8867925_Bin_30_contigs	s_SalMarSW160120MG_2_8867925_Bin_30	2158	s_SalMarSW160120MG_2_8867925_Bin_30	BACTERIA	71.83	4.23	2272595	Bacteria	Krumholzibacteriota	Krumholzibacteria	SSS58A	unknown	unknown	0.002098112	0.190848967	0.263583779	0.020189073	0.009801156	0.01047197	0.00035642	0.000437241	6.86978E-05	0.00018508	0.000251353	0.00022549	0.000151943	0.000110725	3.71776E-05	0.002026989	2	98.53	98.53
s_SalMarSW160120MG_2_8867925_Bin_36_contigs	s_SalMarSW160120MG_2_8867925_Bin_36	1640	s_SalMarSW160120MG_2_8867925_Bin_36	BACTERIA	83.1	5.63	1616946	Bacteria	UBP7_A	4484-113	4484-113	4484-113	unknown	0.002696995	0.505800115	0.397657647	0.289596809	0.05754209	0.108367958	0.003005731	0.000757292	0.000155176	0.000750018	0.000990865	0.001175137	0.000539884	0.000955304	0.000109916	0.004669834	1	0	0
s_SalMarSW160120MG_2_8867925_Bin_43_contigs	s_SalMarSW160120MG_2_8867925_Bin_43	3073	s_SalMarSW160120MG_2_8867925_Bin_43	BACTERIA	81.69	2.82	3190140	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	NaphS2	unknown	0.014930054	0.334059644	0.058962114	0.006936054	0.006530333	0.009205506	0.000562514	0.000470378	0.000258627	0.000273983	0.000625554	0.000554432	0.000456638	0.00034753	0.000104259	0.004125101	1	0	0
s_SalMarSW160120MG_2_8867925_Bin_5_1_contigs	s_SalMarSW160120MG_2_8867925_Bin_5_1	3929	s_SalMarSW160120MG_2_8867925_Bin_5_1	ARCHAEA	77.63	1.32	3851810	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	unknown	unknown	0.011005388	0.364966383	0.066143863	0.022865054	0.006652372	0.008937989	0.000450981	0.000976317	0.000268326	0.000810634	0.001647939	0.001126644	0.001260807	0.000370968	0.000114766	0.002426245	1	0	0
s_SalMarSW160120MG_2_8867925_Bin_7_2_contigs	s_SalMarSW160120MG_2_8867925_Bin_7_2	837	s_SalMarSW160120MG_2_8867925_Bin_7_2	BACTERIA	74.65	0	752223	Bacteria	Patescibacteria	ABY1	XYB2-FULL-38-15	unknown	unknown	0.000680512	0.063168844	0.04647851	0.005955696	0.002517572	0.004725601	0.000112341	5.09172E-05	3.0712E-05	7.75881E-05	0.000130122	7.03142E-05	4.44515E-05	2.26299E-05	6.46568E-06	0.000554432	1	0	0
s_SalMarSW160130MG_3_8917055_Bin_17_contigs	s_SalMarSW160130MG_3_8917055_Bin_17	2191	s_SalMarSW160130MG_3_8917055_Bin_17	BACTERIA	67.61	0	2213100	Bacteria	Planctomycetota	Phycisphaerae	SG8-4	SG8-4	Fen-1359	0.091281602	0.000836497	0.157746324	0.039451937	0.090640692	0.08209226	0.024482281	0.064799002	0.05127685	0.024181627	0.06086383	0.045663835	0.019661312	0.01912062	0.002221768	0.113891262	1	0	0
s_SalMarSW160130MG_3_8917055_Bin_22_2_contigs	s_SalMarSW160130MG_3_8917055_Bin_22_2	526	s_SalMarSW160130MG_3_8917055_Bin_22_2	BACTERIA	70.42	2.82	502752	Bacteria	Patescibacteria	Paceibacteria	Paceibacterales	GWA2-38-27	unknown	0.004264921	3.23284E-06	0.024775661	4.20269E-05	0.013286155	0.011746516	0.006403444	0.011814406	0.004197032	0.006037325	0.01935985	0.015047244	0.019915898	0.008124122	0.00219833	0.023429992	1	0	0
s_SalMarSW160130MG_3_8917055_Bin_22_3_contigs	s_SalMarSW160130MG_3_8917055_Bin_22_3	602	s_SalMarSW160130MG_3_8917055_Bin_22_3	BACTERIA	76.06	0	539328	Bacteria	Patescibacteria	Paceibacteria	Paceibacterales	GWA2-38-27	unknown	0.006780877	5.17254E-05	0.070214006	0.004762778	0.055335678	0.05249078	0.016282188	0.021519385	0.04384698	0.047791042	0.066316012	0.018309177	0.048806153	0.041971934	0.007298132	0.038295389	2	99.3	99.3
s_SalMarSW160130MG_3_8917055_Bin_29_contigs	s_SalMarSW160130MG_3_8917055_Bin_29	2214	s_SalMarSW160130MG_3_8917055_Bin_29	BACTERIA	60.56	4.23	2423063	Bacteria	Planctomycetota	Phycisphaerae	SG8-4	SG8-4	unknown	0.017363572	0.000760525	0.145021066	0.00495594	0.031281747	0.035247631	0.00912711	0.012764052	0.035120742	0.013326566	0.049302394	0.022114227	0.022537729	0.021832971	0.007979452	0.121859399	1	0	0
s_SalMarSW160130MG_3_8917055_Bin_30_1_contigs	s_SalMarSW160130MG_3_8917055_Bin_30_1	2186	s_SalMarSW160130MG_3_8917055_Bin_30_1	BACTERIA	91.55	0	2079079	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	unknown	0.047738509	0.000463104	0.199228483	0.008534692	0.099225493	0.098296052	0.052273372	0.060309399	0.066211752	0.036796161	0.050022509	0.035840857	0.084153194	0.054519386	0.028955721	0.09819745	1	0	0
s_SalMarSW160130MG_3_8917055_Bin_32_1_contigs	s_SalMarSW160130MG_3_8917055_Bin_32_1	2549	s_SalMarSW160130MG_3_8917055_Bin_32_1	ARCHAEA	90.79	3.95	2260389	Archaea	Crenarchaeota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	0.083805664	0.0020674	0.254878554	0.351616379	0.448686377	0.456311025	0.130326201	0.0869989	0.171246655	0.126361126	0.207005883	0.16553423	0.255442685	0.15129358	0.055861822	0.233902286	1	0	0
s_SalMarSW160130MG_3_8917055_Bin_45_2_contigs	s_SalMarSW160130MG_3_8917055_Bin_45_2	615	s_SalMarSW160130MG_3_8917055_Bin_45_2	BACTERIA	77.46	1.41	598696	Bacteria	Patescibacteria	Paceibacteria	Paceibacterales	GWA2-38-27	unknown	0.000817908	6.70814E-05	0.067091084	0.0100024	0.014571209	0.053550343	0.001384463	0.006262815	0.013017022	0.006484265	0.046708042	0.013872916	0.054008598	0.06121621	0.065656513	0.057688375	6	99.57	99.09
s_SalMarSW160130MG_3_8917055_Bin_53_contigs	s_SalMarSW160130MG_3_8917055_Bin_53	1611	s_SalMarSW160130MG_3_8917055_Bin_53	BACTERIA	91.55	1.41	1688468	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	CG2-30-46-19	0.36443054	0.001376381	2.964279566	0.101305016	2.581827572	2.058794006	0.816444315	1.578851744	1.923241114	2.235948672	2.716385558	0.830431996	3.891514043	2.636721967	2.004989885	6.590650795	9	99.6	97.5
s_SalMarSW160130MG_3_8917055_Bin_6_2_contigs	s_SalMarSW160130MG_3_8917055_Bin_6_2	2663	s_SalMarSW160130MG_3_8917055_Bin_6_2	BACTERIA	81.69	2.82	3010963	Bacteria	Planctomycetota	Phycisphaerae	SG8-4	SG8-4	RBG-13-46-10	0.134850558	0.000438858	0.208035542	0.044432124	0.380498552	0.477506318	0.194291132	0.193144282	0.201403375	0.166939707	0.184966819	0.463908194	0.334523556	0.183471631	0.056207736	0.171915044	1	0	0
s_SalMarSW160130MG_4_8867923_Bin_32_1_contigs	s_SalMarSW160130MG_4_8867923_Bin_32_1	1271	s_SalMarSW160130MG_4_8867923_Bin_32_1	BACTERIA	85.92	1.41	1138652	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	unknown	unknown	0.125426027	0.001921114	0.013077637	0.017044329	0.046931916	0.055300116	0.034800692	0.087246212	0.061952489	0.0038592	0.00258627	0.014811247	0.002892582	0.012183758	0.000417036	0.002001935	1	0	0
s_SalMarSW160130MG_4_8867923_Bin_39_1_contigs	s_SalMarSW160130MG_4_8867923_Bin_39_1	1810	s_SalMarSW160130MG_4_8867923_Bin_39_1	BACTERIA	77.46	7.04	1761707	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	UBA5760	unknown	1.296341317	0.003645025	0.024186477	0.024844359	0.269471585	0.324822618	0.672524838	0.811638701	0.370821052	0.108408369	0.033111534	0.059835788	0.030163186	0.21469438	0.001881512	0.021300361	1	0	0
s_SalMarSW160130MG_4_8867923_Bin_41_contigs	s_SalMarSW160130MG_4_8867923_Bin_41	3359	s_SalMarSW160130MG_4_8867923_Bin_41	BACTERIA	98.59	0	4224265	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA5072	unknown	0.713619865	0.00301543	0.034885553	0.012671916	0.144532099	0.228315134	0.02123732	0.345276783	0.206093414	0.143336757	0.123463695	0.201248199	0.127929052	0.040388652	0.000575445	0.060913939	3	99.94	99.34
s_SalMarSW160130MG_4_8867923_Bin_57_contigs	s_SalMarSW160130MG_4_8867923_Bin_57	2215	s_SalMarSW160130MG_4_8867923_Bin_57	BACTERIA	88.73	0	2335952	Bacteria	WOR-3	WOR-3	unknown	unknown	unknown	0.643683075	0.000100218	0.030381402	0.000116382	0.030545469	0.039165023	0.039827754	0.434409356	0.039213515	0.042910265	0.076247289	0.038667974	0.053576206	0.063840466	0.097836989	0.270194124	4	99.97	98.1
s_SalMarSW160130MG_4_8867923_Bin_8_1_contigs	s_SalMarSW160130MG_4_8867923_Bin_8_1	3243	s_SalMarSW160130MG_4_8867923_Bin_8_1	BACTERIA	84.51	2.82	3596214	Bacteria	Planctomycetota	Phycisphaerae	SG8-4	SG8-4	SG8-4	0.461537715	0.008322941	0.018482134	0.371165349	0.530957251	0.566343087	0.183910489	0.341230079	0.592090216	0.041335065	0.026556147	0.041481351	0.012654136	0.050055645	0.011185619	0.033617473	3	98.11	98.02
s_SalMarSW160140MG_2_8917685_Bin_11_2_contigs	s_SalMarSW160140MG_2_8917685_Bin_11_2	3521	s_SalMarSW160140MG_2_8917685_Bin_11_2	BACTERIA	87.32	2.82	3653986	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	SZUA-6	unknown	0.034393354	0.291638346	0.685770583	0.933492443	0.139915607	0.207942598	0.054196102	0.021926723	0.007309446	0.00334033	0.007899439	0.009435037	0.013533468	0.020161593	0.007748304	0.018424751	1	0	0
s_SalMarSW160140MG_2_8917685_Bin_13_1_contigs	s_SalMarSW160140MG_2_8917685_Bin_13_1	1085	s_SalMarSW160140MG_2_8917685_Bin_13_1	BACTERIA	87.32	0	1048763	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	CG2-30-46-19	1.427209827	0.001170287	0.130209011	0.419577096	2.791608038	3.9219205	1.230789871	0.862189779	1.190112689	0.835058995	0.594756499	0.84392667	0.354956708	0.503861221	0.097910536	0.576499047	8	99.7	98.98
s_SalMarSW160140MG_2_8917685_Bin_19_contigs	s_SalMarSW160140MG_2_8917685_Bin_19	3943	s_SalMarSW160140MG_2_8917685_Bin_19	BACTERIA	90.14	0	4532808	Bacteria	Planctomycetota	Brocadiae	unknown	unknown	unknown	0.123967209	0.145311213	0.518157638	1.002212069	0.316898124	0.366910935	0.058911196	0.06266937	0.089425145	0.01252563	0.05928863	0.01399738	0.012091622	0.008765032	0.000572212	0.014181652	1	0	0
s_SalMarSW160140MG_2_8917685_Bin_2_1_contigs	s_SalMarSW160140MG_2_8917685_Bin_2_1	2692	s_SalMarSW160140MG_2_8917685_Bin_2_1	BACTERIA	95.77	0	2650984	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter	0.336678243	0.222066058	1.402440631	3.87735583	0.386815517	0.372399485	0.156844362	0.004489604	0.340269118	0.006194117	0.014727193	0.022197473	0.04396417	0.041960619	0.030685289	0.075808432	1	0	0
s_SalMarSW160140MG_2_8917685_Bin_24_contigs	s_SalMarSW160140MG_2_8917685_Bin_24	3566	s_SalMarSW160140MG_2_8917685_Bin_24	BACTERIA	90.14	4.23	4006127	Bacteria	Planctomycetota	Phycisphaerae	UBA1845	unknown	unknown	0.009791458	0.001156548	0.056444541	0.417708516	0.034560653	0.247948158	0.01804166	0.003484191	0.020958488	0.012526439	0.025260587	0.00909074	0.009177219	0.011061155	0.013188362	0.016498788	1	0	0
s_SalMarSW160140MG_2_8917685_Bin_28_1_contigs	s_SalMarSW160140MG_2_8917685_Bin_28_1	5073	s_SalMarSW160140MG_2_8917685_Bin_28_1	BACTERIA	92.96	2.82	5402954	Bacteria	Myxococcota	UBA9160	UBA9160	UBA9160	unknown	0.0375187	0.010799295	0.050478339	0.771107805	0.020417796	0.103053981	0.000594842	0.00067728	0.000349955	0.000490583	0.001803115	0.00155742	0.001893635	0.002959663	0.003965076	0.014273787	1	0	0
s_SalMarSW160140MG_2_8917685_Bin_31_1_contigs	s_SalMarSW160140MG_2_8917685_Bin_31_1	3625	s_SalMarSW160140MG_2_8917685_Bin_31_1	BACTERIA	83.1	2.82	3676789	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Afifellaceae	A52C2	0.135329826	0.080254392	0.417018305	0.813039328	0.027278686	0.08448456	0.004479097	0.000875291	0.00195425	0.000969851	0.002272685	0.003396904	0.003313659	0.007791947	0.018401313	0.043781515	2	99.52	99.52
s_SalMarSW160140MG_2_8917685_Bin_31_2_contigs	s_SalMarSW160140MG_2_8917685_Bin_31_2	2616	s_SalMarSW160140MG_2_8917685_Bin_31_2	BACTERIA	87.32	8.45	2533249	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Bauldia	0.029802724	0.017070192	0.030768534	0.422065573	0.014681125	0.026062331	0.003306385	0.000391982	0.001858074	0.000465529	0.002274301	0.001746541	0.00214418	0.018057824	0.049404228	0.143197745	1	0	0
s_SalMarSW160140MG_2_8917685_Bin_4_1_contigs	s_SalMarSW160140MG_2_8917685_Bin_4_1	3016	s_SalMarSW160140MG_2_8917685_Bin_4_1	BACTERIA	54.93	9.86	3058483	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	unknown	0.02804406	0.016062355	0.095962751	0.788287913	0.024390145	0.093402344	0.002722049	0.000830031	0.001378805	0.000752443	0.002409272	0.002111851	0.003878597	0.041904853	0.05158801	0.070443537	1	0	0
s_SalMarSW160140MG_2_8917685_Bin_40_contigs	s_SalMarSW160140MG_2_8917685_Bin_40	3262	s_SalMarSW160140MG_2_8917685_Bin_40	BACTERIA	87.32	2.82	3408930	Bacteria	Chloroflexota	Anaerolineae	UBA7937	unknown	unknown	0.02721807	0.00123656	0.05895484	0.856520998	0.511856029	0.35039679	0.042449586	0.029771204	0.096591538	0.104931452	0.033179423	0.064171024	0.141283905	0.039837453	0.035096496	0.076052511	3	99.14	98.72
s_SalMarSW160140MG_2_8917685_Bin_44_contigs	s_SalMarSW160140MG_2_8917685_Bin_44	3331	s_SalMarSW160140MG_2_8917685_Bin_44	BACTERIA	78.87	0	3500077	Bacteria	Chloroflexota	Anaerolineae	UBA7937	unknown	unknown	0.18455544	0.003982048	0.082461612	0.630584424	0.621496917	1.180490955	0.06278252	0.090147684	0.31690459	0.129699839	0.023884206	0.219401392	0.016577993	0.023718523	0.004005486	0.033106684	3	99.44	99.36
